CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Петрасвет - Медийка - РФ кроме НН - Креатив 1	12054	7	0,06	245,90	3	0,00	33,33
Петрасвет - Медийка - РФ кроме НН - Креатив 2	27734	9	0,03	565,73	7	0,00	14,29
Петрасвет - Медийка - РФ кроме НН - Креатив 4	43989	11	0,03	897,33	5	0,00	40,00
Total rows: 3
