CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
МКб по категориям - Поиск - Пермь	15	1	6,67	103,45	1	0,00	0,00
Бренд - РСЯ - Пермь	1	0	0,00	0,00	--	0,00	--
Total rows: 2
