CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
СветПро - Медийка - РФ кроме НН	62974	36	0,06	1291,28	25	0,00	40,00
СветПро - Медийка - РФ кроме НН 3 вариант	66164	25	0,04	1357,09	21	0,00	57,14
СветПро - Медийка - РФ кроме НН - светильники	51656	34	0,07	1061,04	25	0,00	32,00
Светпро - Медийка - РФ кроме НН - Кронштейны 1	57310	29	0,05	1175,57	23	0,00	43,48
Светпро - Медийка - РФ кроме НН - Кронштейны 2	72117	32	0,04	1477,98	17	0,00	76,47
Светпро - Медийка - РФ кроме НН - Кронштейны 3	84986	58	0,07	1739,69	37	0,00	32,43
Total rows: 6
