CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Armadasvet email | Ретаргетинг | Регионы	37	0	0,00	0,00	--	0,00	--
Армада - Медийка - РФ кроме НН - old	38030	23	0,06	443,43	2	0,00	35,29
Армада - Медийка - РФ кроме НН - Креатив 1	44433	21	0,05	957,37	2	0,00	31,25
Армада - Медийка - РФ кроме НН - Креатив 3	25750	21	0,08	574,11	1	0,00	26,67
Total rows: 4
