CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Динамические объявления - Поиск - Новосибирск	86	8	9,30	157,68	6	0,00	50,00
Карнитин - Горячие - Поиск - Новосибирск	1	0	0,00	0,00	--	0,00	--
Бренд - РСЯ - Новосибирск	7	0	0,00	0,00	--	0,00	--
Total rows: 3
