CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Ретаргет общий - Посетит 45 дн кроме покуп за последн 14 дн - Сети - Ростов-на-дону	139	1	0,72	28,28	1	0,00	0,00
Бренд - РСЯ - Ростов-на-дону	1	0	0,00	0,00	--	0,00	--
Total rows: 2
