CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Динамические объявления - Поиск - Иркутск	55	6	10,91	58,75	6	0,00	16,67
Бренд - РСЯ - Иркутск	4	0	0,00	0,00	--	0,00	--
Total rows: 2
