CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Динамические объявления - Поиск - Оренбург	21	1	4,76	15,38	3	0,00	0,00
Бренд - РСЯ - Оренбург	1	0	0,00	0,00	--	0,00	--
Total rows: 2
