CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Динамические объявления - Поиск - Красноярск	125	11	8,80	153,98	11	0,00	9,09
Бренд - РСЯ - Красноярск	2	0	0,00	0,00	--	0,00	--
Total rows: 2
