CampaignName	Impressions	Clicks	Ctr	Cost	Conversions_5125289_LSC	Revenue_5125289_LSC
Гейнер - Общая - Поиск - СПБ	479	34	7,10	302,91	--	--
Гейнер - Горячая - Поиск - СПБ	291	36	12,37	361,90	--	--
Карнитин - Горячие - Поиск - СПБ	459	47	10,24	819,64	2	--
Бренд - РСЯ - Санкт-Петербург	214	1	0,47	14,98	--	--
Total rows: 4
